retailer,invoice_date,region,state,product,price_per_unit,units_sold,total_sales
Walmart,2020-10-31,South,Texas,Women's Apparel,41,306,12546
West Gear,2020-12-31,West,California,Men's Street Footwear,44,270,11880
West Gear,2021-01-11,West,California,Women's Apparel,60,306,18360
Walmart,2020-04-21,Northeast,New York,Women's Street Footwear,47,268,12596
West Gear,2021-02-06,West,California,Men's Athletic Footwear,46,306,14076
Walmart,2020-08-12,South,Texas,Men's Street Footwear,29,268,7772
Walmart,2020-08-30,South,Texas,Men's Street Footwear,37,268,9916
Kohl's,2021-05-01,West,California,Men's Street Footwear,36,306,11016
West Gear,2021-01-25,West,California,Men's Athletic Footwear,56,268,15008
Sports Direct,2021-04-14,South,Tennessee,Women's Apparel,37,306,11322
Kohl's,2021-01-16,South,Oklahoma,Women's Apparel,25,350,8750
Foot Locker,2020-08-18,Southeast,Florida,Men's Street Footwear,41,268,10988
West Gear,2021-02-17,Northeast,West Virginia,Women's Apparel,25,350,8750
West Gear,2021-07-16,South,Louisiana,Men's Street Footwear,62,306,18972
Sports Direct,2021-09-14,South,Alabama,Women's Street Footwear,51,268,13668
West Gear,2021-05-08,Northeast,New York,Men's Street Footwear,50,261,13050
Foot Locker,2020-03-09,Northeast,New York,Women's Apparel,64,305,19520
Foot Locker,2020-03-11,Northeast,New York,Men's Athletic Footwear,53,267,14151
Foot Locker,2020-01-03,Northeast,New York,Women's Street Footwear,32,350,11200
Walmart,2020-08-30,South,Texas,Men's Street Footwear,27,305,8235
Foot Locker,2020-01-24,Northeast,New York,Women's Apparel,36,350,12600
Walmart,2020-08-31,South,Texas,Men's Athletic Footwear,33,305,10065
Foot Locker,2021-03-05,Southeast,South Carolina,Men's Street Footwear,33,265,8745
Foot Locker,2021-08-08,West,Idaho,Women's Street Footwear,39,305,11895
Walmart,2020-08-20,South,Texas,Women's Street Footwear,27,264,7128
Walmart,2020-09-05,South,Texas,Men's Street Footwear,33,264,8712
West Gear,2020-09-17,Southeast,Florida,Men's Street Footwear,60,304,18240
West Gear,2020-11-01,South,Texas,Men's Street Footwear,30,264,7920
Walmart,2020-08-29,South,Texas,Women's Apparel,36,302,10872
West Gear,2021-01-14,West,California,Women's Street Footwear,46,264,12144
Foot Locker,2020-01-02,Northeast,New York,Men's Athletic Footwear,47,260,12220
West Gear,2021-01-18,West,California,Men's Street Footwear,45,302,13590
Sports Direct,2021-04-01,South,Tennessee,Men's Apparel,30,300,9000
Foot Locker,2020-01-06,Northeast,New York,Women's Apparel,46,260,11960
West Gear,2021-01-17,West,California,Women's Apparel,56,264,14784
Foot Locker,2020-01-26,Northeast,New York,Men's Athletic Footwear,48,259,12432
Sports Direct,2021-09-28,South,Alabama,Men's Apparel,30,300,9000
Foot Locker,2021-05-19,Midwest,Missouri,Women's Street Footwear,30,300,9000
Foot Locker,2020-02-07,Northeast,New York,Men's Athletic Footwear,50,259,12950
Walmart,2020-04-20,Northeast,New York,Men's Athletic Footwear,43,350,15050
West Gear,2021-01-29,West,California,Women's Apparel,51,264,13464
Foot Locker,2021-09-19,Midwest,Missouri,Women's Street Footwear,15,300,4500
Walmart,2020-04-24,Northeast,New York,Women's Apparel,45,350,15750
West Gear,2021-02-11,West,Utah,Women's Athletic Footwear,20,300,6000
Kohl's,2021-03-19,West,California,Men's Street Footwear,24,264,6336
Walmart,2020-08-23,South,Texas,Women's Apparel,38,350,13300
Kohl's,2021-04-24,West,California,Women's Apparel,48,264,12672
Foot Locker,2021-01-09,Southeast,Georgia,Men's Street Footwear,26,349,9074
Walmart,2020-08-13,South,Texas,Men's Athletic Footwear,38,259,9842
Kohl's,2021-05-02,West,California,Men's Athletic Footwear,41,264,10824
Foot Locker,2020-03-09,Northeast,New York,Women's Apparel,46,347,15962
Kohl's,2021-05-08,West,California,Men's Athletic Footwear,39,264,10296
West Gear,2021-11-11,West,Utah,Women's Street Footwear,20,345,6900
West Gear,2021-01-06,West,California,Men's Street Footwear,41,341,13981
Kohl's,2021-05-14,West,California,Men's Athletic Footwear,43,264,11352
Foot Locker,2020-03-05,Northeast,New York,Men's Athletic Footwear,41,340,13940
Kohl's,2021-05-20,West,California,Men's Athletic Footwear,42,264,11088
Walmart,2020-07-18,Northeast,New York,Women's Apparel,48,340,16320
Sports Direct,2021-09-09,South,Texas,Women's Apparel,34,264,8976
Walmart,2020-08-31,South,Texas,Men's Athletic Footwear,41,259,10619
West Gear,2021-01-12,West,California,Men's Street Footwear,41,338,13858
Sports Direct,2021-09-17,South,Texas,Men's Athletic Footwear,34,264,8976
West Gear,2021-01-19,West,California,Men's Athletic Footwear,66,259,17094
Foot Locker,2020-01-01,Northeast,New York,Men's Street Footwear,47,336,15792
Sports Direct,2021-04-16,South,Tennessee,Men's Athletic Footwear,30,264,7920
Foot Locker,2020-02-05,Northeast,New York,Women's Apparel,39,333,12987
West Gear,2020-09-10,Southeast,Florida,Women's Apparel,63,259,16317
Walmart,2020-04-29,Northeast,New York,Women's Street Footwear,52,258,13416
Sports Direct,2021-05-16,South,Tennessee,Men's Athletic Footwear,37,264,9768
Walmart,2020-05-05,Northeast,New York,Women's Street Footwear,42,333,13986
Sports Direct,2021-09-07,South,Alabama,Men's Athletic Footwear,37,264,9768
Walmart,2020-10-26,South,Texas,Men's Street Footwear,32,333,10656
West Gear,2021-07-06,West,Idaho,Men's Street Footwear,35,264,9240
Walmart,2020-10-27,South,Texas,Men's Athletic Footwear,34,333,11322
Foot Locker,2021-07-06,West,Idaho,Women's Apparel,51,264,13464
West Gear,2021-02-12,West,California,Men's Athletic Footwear,46,332,15272
Foot Locker,2021-01-09,Southeast,Georgia,Women's Street Footwear,24,264,6336
Sports Direct,2021-09-24,South,Texas,Women's Street Footwear,35,332,11620
Walmart,2020-05-02,Northeast,New York,Women's Apparel,66,263,17358
West Gear,2021-10-11,West,Utah,Women's Street Footwear,20,300,6000
Foot Locker,2020-01-06,Northeast,New York,Women's Apparel,38,330,12540
Amazon,2021-01-22,Midwest,Ohio,Women's Street Footwear,30,300,9000
Foot Locker,2021-04-17,South,Mississippi,Women's Athletic Footwear,20,300,6000
West Gear,2021-02-05,West,California,Men's Street Footwear,52,263,13676
Sports Direct,2021-01-23,South,Mississippi,Women's Athletic Footwear,20,300,6000
Walmart,2020-04-26,Northeast,New York,Women's Apparel,50,330,16500
Sports Direct,2021-09-15,South,Texas,Women's Apparel,53,263,13939
Foot Locker,2021-08-06,Southeast,South Carolina,Men's Street Footwear,62,326,20212
Sports Direct,2021-04-17,South,Tennessee,Women's Street Footwear,36,263,9468
Foot Locker,2021-08-18,Midwest,Missouri,Women's Athletic Footwear,25,325,8125
West Gear,2021-06-10,Northeast,New York,Men's Street Footwear,59,263,15517
Foot Locker,2021-11-18,Midwest,Missouri,Women's Athletic Footwear,25,325,8125
Sports Direct,2021-08-16,Midwest,Michigan,Men's Street Footwear,55,263,14465
Walmart,2021-04-20,South,Arkansas,Men's Athletic Footwear,25,300,7500
West Gear,2021-01-11,Midwest,Missouri,Women's Athletic Footwear,20,325,6500
Walmart,2021-04-20,South,Arkansas,Women's Street Footwear,15,300,4500
Walmart,2021-10-21,South,Arkansas,Women's Street Footwear,20,300,6000
Kohl's,2021-11-20,South,Oklahoma,Men's Athletic Footwear,15,300,4500
Sports Direct,2021-02-04,Southeast,South Carolina,Men's Street Footwear,34,263,8942
Kohl's,2021-02-14,South,Oklahoma,Women's Street Footwear,15,300,4500
West Gear,2021-04-11,West,Utah,Men's Athletic Footwear,25,325,8125
Sports Direct,2021-04-03,Southeast,North Carolina,Men's Street Footwear,27,263,7101
West Gear,2021-04-11,West,Utah,Women's Street Footwear,15,325,4875
Sports Direct,2021-07-02,Southeast,North Carolina,Women's Apparel,64,263,16832
Kohl's,2021-04-13,Midwest,Kansas,Women's Apparel,30,300,9000
West Gear,2021-09-12,West,Utah,Women's Athletic Footwear,10,325,3250
Foot Locker,2020-03-18,Northeast,New York,Women's Street Footwear,45,257,11565
Sports Direct,2020-08-01,South,Texas,Men's Athletic Footwear,30,263,7890
West Gear,2021-09-12,West,Utah,Men's Apparel,20,325,6500
Walmart,2020-08-21,South,Texas,Women's Athletic Footwear,26,263,6838
Amazon,2021-03-09,Midwest,Ohio,Women's Athletic Footwear,25,325,8125
Foot Locker,2021-10-14,Midwest,Kansas,Women's Apparel,30,300,9000
West Gear,2021-01-13,West,California,Men's Athletic Footwear,49,263,12887
Foot Locker,2021-02-18,South,Mississippi,Women's Athletic Footwear,25,325,8125
West Gear,2021-06-03,Midwest,Wisconsin,Men's Athletic Footwear,30,300,9000
West Gear,2021-01-10,Midwest,Wisconsin,Women's Street Footwear,25,300,7500
West Gear,2021-02-10,Midwest,Indiana,Women's Apparel,20,300,6000
West Gear,2021-01-17,Midwest,Indiana,Women's Street Footwear,25,300,7500
Walmart,2021-03-19,South,Arkansas,Men's Athletic Footwear,20,325,6500
Walmart,2021-09-19,South,Arkansas,Women's Athletic Footwear,15,325,4875
West Gear,2021-02-17,Midwest,Indiana,Women's Street Footwear,30,300,9000
Walmart,2021-09-19,South,Arkansas,Men's Apparel,25,325,8125
West Gear,2021-02-21,South,Arkansas,Women's Street Footwear,15,325,4875
Kohl's,2021-02-14,Midwest,Kansas,Women's Apparel,20,325,6500
Sports Direct,2021-01-07,Northeast,New Jersey,Women's Street Footwear,30,300,9000
Foot Locker,2020-01-31,Northeast,New York,Men's Street Footwear,45,300,13500
Walmart,2020-05-04,Northeast,New York,Men's Athletic Footwear,51,300,15300
Foot Locker,2020-04-24,Southeast,Florida,Men's Street Footwear,42,256,10752
Kohl's,2021-10-14,Midwest,Kansas,Men's Athletic Footwear,20,325,6500
West Gear,2020-04-24,Southeast,Florida,Men's Street Footwear,52,300,15600
West Gear,2021-03-16,Northeast,West Virginia,Women's Street Footwear,20,325,6500
Walmart,2020-04-27,Northeast,New York,Men's Street Footwear,60,299,17940
Foot Locker,2021-01-09,Southeast,Georgia,Men's Street Footwear,39,256,9984
Foot Locker,2020-03-16,Northeast,New York,Men's Street Footwear,58,325,18850
West Gear,2020-09-11,Southeast,Florida,Men's Street Footwear,60,299,17940
West Gear,2021-01-07,West,California,Men's Athletic Footwear,50,256,12800
Foot Locker,2020-03-31,Northeast,New York,Women's Athletic Footwear,40,324,12960
West Gear,2021-02-10,West,California,Women's Apparel,56,256,14336
Sports Direct,2020-05-24,Southeast,Florida,Men's Street Footwear,63,323,20349
Foot Locker,2020-01-21,Northeast,New York,Women's Street Footwear,32,323,10336
Walmart,2020-09-10,South,Texas,Women's Apparel,42,298,12516
West Gear,2021-02-13,West,California,Women's Street Footwear,44,256,11264
Walmart,2020-10-28,South,Texas,Women's Street Footwear,38,298,11324
West Gear,2021-02-16,West,California,Women's Apparel,50,256,12800
West Gear,2021-07-23,West,Oregon,Men's Street Footwear,60,298,17880
Foot Locker,2020-01-30,Northeast,New York,Women's Apparel,36,323,11628
Kohl's,2021-05-13,West,California,Men's Street Footwear,36,256,9216
Walmart,2020-09-01,South,Texas,Women's Street Footwear,39,297,11583
Walmart,2020-08-19,South,Texas,Men's Athletic Footwear,33,323,10659
Sports Direct,2021-09-10,South,Texas,Men's Street Footwear,30,256,7680
Walmart,2020-05-02,Northeast,New York,Women's Apparel,53,322,17066
Sports Direct,2021-09-16,South,Texas,Men's Street Footwear,34,256,8704
West Gear,2021-02-11,West,California,Men's Street Footwear,40,322,12880
West Gear,2021-01-22,West,California,Men's Apparel,59,263,15517
Sports Direct,2021-09-23,South,Texas,Men's Athletic Footwear,43,256,11008
Sports Direct,2021-09-18,South,Texas,Women's Street Footwear,33,322,10626
West Gear,2021-02-05,West,California,Men's Street Footwear,39,263,10257
Sports Direct,2021-08-30,South,Alabama,Women's Apparel,36,263,9468
Walmart,2021-07-16,Southeast,Florida,Men's Athletic Footwear,74,263,19462
Sports Direct,2021-10-21,South,Texas,Women's Apparel,54,256,13824
Sports Direct,2021-04-17,South,Tennessee,Women's Street Footwear,30,322,9660
West Gear,2021-06-04,West,Idaho,Men's Athletic Footwear,35,263,9205
Sports Direct,2021-04-09,South,Tennessee,Men's Street Footwear,28,256,7168
Sports Direct,2021-09-08,South,Alabama,Women's Street Footwear,31,322,9982
Sports Direct,2021-09-06,South,Alabama,Men's Street Footwear,31,256,7936
West Gear,2021-11-20,South,Arkansas,Women's Street Footwear,25,320,8000
Foot Locker,2021-06-18,South,Mississippi,Men's Street Footwear,31,263,8153
Foot Locker,2020-01-02,Northeast,New York,Men's Athletic Footwear,36,320,11520
Walmart,2021-12-16,Southeast,Florida,Men's Athletic Footwear,55,256,14080
Foot Locker,2020-03-03,Northeast,New York,Women's Apparel,44,320,14080
Foot Locker,2020-01-08,Northeast,New York,Men's Athletic Footwear,46,261,12006
Foot Locker,2020-03-10,Northeast,New York,Men's Street Footwear,59,319,18821
Foot Locker,2020-02-08,Northeast,New York,Women's Street Footwear,46,261,12006
Foot Locker,2020-03-07,Northeast,New York,Women's Athletic Footwear,47,261,12267
Walmart,2020-05-07,Northeast,New York,Men's Apparel,60,261,15660
Walmart,2020-08-26,South,Texas,Women's Street Footwear,37,319,11803
Walmart,2020-10-31,South,Texas,Women's Apparel,53,261,13833
Foot Locker,2020-08-12,Southeast,Florida,Men's Street Footwear,43,319,13717
Walmart,2021-07-16,Southeast,Florida,Men's Street Footwear,83,261,21663
Sports Direct,2021-02-17,Southeast,Virginia,Men's Street Footwear,26,256,6656
West Gear,2021-08-24,West,Oregon,Men's Street Footwear,69,256,17664
West Gear,2021-08-24,West,Oregon,Men's Athletic Footwear,62,256,15872
West Gear,2021-06-17,South,Louisiana,Men's Street Footwear,47,256,12032
Foot Locker,2020-03-07,Northeast,New York,Women's Athletic Footwear,38,297,11286
West Gear,2021-08-17,South,Louisiana,Men's Athletic Footwear,57,256,14592
Kohl's,2021-04-19,West,California,Men's Street Footwear,36,297,10692
Foot Locker,2021-01-09,Southeast,Georgia,Men's Athletic Footwear,30,256,7680
Walmart,2021-08-17,South,Mississippi,Men's Street Footwear,41,256,10496
Walmart,2021-07-16,Southeast,Florida,Men's Street Footwear,68,297,20196
Foot Locker,2020-02-07,Northeast,New York,Men's Athletic Footwear,37,296,10952
Foot Locker,2020-03-06,Northeast,New York,Women's Street Footwear,37,296,10952
Sports Direct,2021-12-16,South,Mississippi,Men's Street Footwear,48,256,12288
Kohl's,2021-04-07,West,California,Men's Street Footwear,31,248,7688
Sports Direct,2020-07-26,South,Texas,Men's Athletic Footwear,33,255,8415
Foot Locker,2021-11-18,Midwest,Missouri,Women's Street Footwear,25,295,7375
Walmart,2020-09-05,South,Texas,Men's Street Footwear,44,255,11220
Sports Direct,2021-09-05,South,Texas,Men's Athletic Footwear,22,248,5456
Walmart,2020-10-28,South,Texas,Women's Street Footwear,47,255,11985
Sports Direct,2021-09-22,South,Texas,Men's Street Footwear,34,248,8432
Foot Locker,2020-03-12,Northeast,New York,Women's Street Footwear,35,295,10325
Sports Direct,2021-10-17,South,Texas,Men's Athletic Footwear,39,248,9672
Walmart,2020-08-17,South,Texas,Women's Apparel,32,295,9440
Sports Direct,2021-05-15,South,Tennessee,Men's Street Footwear,39,248,9672
